State Name,City,Population,V_crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2,State Abbreviation,Cost of Living Index
OHIO,Findlay,"41,350",106,0.0,46,17,43,902,114,760,28,3,OH,91.1
OHIO,Lima,"36,653",259,4.0,59,64,132,"1,493",392,"1,037",64,71,OH,87.2
OHIO,Mansfield,"46,418",187,3.0,48,38,98,"1,996",396,"1,523",77,17,OH,86.2
OHIO,New Philadelphia,"17,434",8,0.0,0,0,8,242,4,232,6,1,OH,88.9
OHIO,Salem,"11,644",22,0.0,3,2,17,341,35,299,7,0,OH,86.6
OHIO,Sandusky,"24,572",74,0.0,31,22,21,925,175,710,40,4,OH,90.8
OHIO,Springfield,"59,128",292,3.0,14,124,151,"2,992",763,"1,978",251,49,OH,87.5
OHIO,Wooster,"26,615",110,0.0,29,15,66,738,97,614,27,7,OH,95.5
OHIO,Zanesville,"25,346",89,1.0,23,16,49,"1,071",126,912,33,3,OH,87.6
OKLAHOMA,Enid,"49,598",204,1.0,44,9,150,"1,625",364,"1,148",113,3,OK,82.9
OKLAHOMA,Lawton,"92,256",854,15.0,97,91,651,"2,972",877,"1,836",259,12,OK,82.8
OKLAHOMA,Muskogee,"37,174",389,2.0,35,43,309,"1,333",359,861,113,12,OK,81.3
OKLAHOMA,Shawnee,"31,627",156,1.0,25,13,117,"1,517",345,"1,018",154,4,OK,82.4
OKLAHOMA,Stillwater,"51,008",160,5.0,37,10,108,"1,086",189,838,59,12,OK,86.3
OKLAHOMA,Tulsa,"401,700","3,964",55.0,341,718,"2,850","21,336","4,846","13,457","3,033",209,OK,86.7
OREGON,Albany,"54,993",70,1.0,10,16,43,"1,467",128,"1,242",97,17,OR,105.4
OREGON,Bend,"100,588",154,0.0,30,21,103,"1,919",135,"1,678",106,14,OR,115.9
OREGON,Coos Bay,"16,471",76,0.0,20,14,42,795,172,587,36,10,OR,102.0
OREGON,Eugene,"173,183",675,2.0,123,180,370,"6,184",964,"4,614",606,42,OR,108.4
OREGON,Grants Pass,"38,475",121,0.0,24,21,76,"1,235",151,958,126,7,OR,106.6
OREGON,Hermiston,"17,780",47,0.0,3,8,36,541,67,443,31,1,OR,97.9
OREGON,Klamath Falls,"22,447",105,4.0,18,15,68,741,117,543,81,11,OR,97.1
OREGON,Portland,"662,114","3,606",29.0,368,979,"2,230","34,452","4,200","23,820","6,432",252,OR,116.5
OREGON,Roseburg,"23,447",78,0.0,18,20,40,"1,345",151,"1,084",110,9,OR,100.8
OREGON,Salem,"175,867",670,0.0,35,152,483,"6,488",680,"4,966",842,43,OR,105.8
PENNSYLVANIA,Allentown,"121,855",471,7.0,64,170,230,"2,782",521,"2,018",243,5,PA,98.9
PENNSYLVANIA,Altoona,"43,429",264,0.0,83,22,159,675,142,481,52,9,PA,90.8
PENNSYLVANIA,Chambersburg,"21,131",59,4.0,9,12,34,491,51,429,11,4,PA,95.7
PENNSYLVANIA,Erie,"95,834",476,9.0,54,93,320,"1,817",342,"1,379",96,33,PA,91.8
PENNSYLVANIA,Harrisburg,"49,195",443,13.0,36,160,234,"1,069",229,728,112,13,PA,95.8
PENNSYLVANIA,Indiana,"12,974",88,0.0,10,6,72,142,19,122,1,0,PA,90.8
PENNSYLVANIA,Lebanon,"25,959",65,1.0,5,21,38,528,77,430,21,1,PA,95.4
PENNSYLVANIA,Scranton,"77,323","1,199",0.0,45,66,"1,088","1,347",239,"1,026",82,6,PA,91.3
PENNSYLVANIA,State College,"58,633",54,3.0,11,8,32,548,36,497,15,3,PA,99.8
PENNSYLVANIA,Sunbury,"9,352",16,0.0,5,2,9,117,17,91,9,5,PA,88.6
RHODE ISLAND,Providence,"179,762",892,13.0,106,241,532,"5,413",715,"4,224",474,5,RI,111.5
SOUTH CAROLINA,Charleston,"138,254",516,8.0,51,95,362,"3,124",292,"2,335",497,7,SC,101.7
SOUTH CAROLINA,Columbia,"133,790","1,037",29.0,88,220,700,"7,027",916,"5,216",895,15,SC,91.9
SOUTH CAROLINA,Florence,"37,640",447,7.0,29,58,353,"2,496",388,"1,909",199,4,SC,87.7
SOUTH CAROLINA,Greenville,"69,830",402,4.0,44,82,272,"2,805",352,"2,236",217,1,SC,95.0
SOUTH CAROLINA,Greenwood,"23,427",350,2.0,29,32,287,"1,292",254,"1,016",22,11,SC,88.7
SOUTH CAROLINA,Myrtle Beach,"34,860",415,3.0,52,98,262,"3,916",304,"3,384",228,6,SC,94.7
SOUTH CAROLINA,Seneca,"8,525",50,1.0,4,5,40,222,40,161,21,2,SC,94.0
SOUTH CAROLINA,Spartanburg,"37,754",448,6.0,24,77,341,"2,450",440,"1,839",171,8,SC,91.0
SOUTH CAROLINA,Sumter,"39,546",418,8.0,11,48,351,"1,796",397,"1,291",108,5,SC,88.1
SOUTH DAKOTA,Rapid City,"76,343",540,4.0,114,64,358,"2,454",488,"1,646",320,9,SD,94.2
SOUTH DAKOTA,Sioux Falls,"185,628",897,4.0,116,68,709,"5,653",695,"4,300",658,29,SD,92.8
TENNESSEE,Chattanooga,"181,848","1,946",33.0,161,196,"1,556","10,106","1,098","7,694","1,314",25,TN,91.2
TENNESSEE,Clarksville,"159,996",926,14.0,103,116,693,"4,467",543,"3,457",467,12,TN,88.7
TENNESSEE,Cleveland,"45,453",464,2.0,35,42,385,"2,403",371,"1,845",187,2,TN,89.5
TENNESSEE,Cookeville,"34,373",121,1.0,28,7,85,"1,047",140,779,128,1,TN,90.9
TENNESSEE,Greeneville,"14,881",50,1.0,4,1,44,521,51,405,65,4,TN,86.5
TENNESSEE,Jackson,"66,915",650,17.0,30,97,506,"2,473",374,"1,904",195,15,TN,85.2
TENNESSEE,Johnson City,"67,197",286,1.0,28,38,219,"2,390",301,"1,904",185,8,TN,88.1
TENNESSEE,Kingsport,"54,218",332,3.0,22,35,272,"2,829",324,"2,232",273,5,TN,86.0
TENNESSEE,Knoxville,"188,666","1,259",22.0,146,232,859,"8,207","1,157","6,067",983,10,TN,91.6
TENNESSEE,Memphis,"650,410","12,367",190.0,468,"2,432","9,277","39,860","7,833","27,981","4,046",336,TN,88.2
TENNESSEE,Morristown,"30,044",255,2.0,16,18,219,"1,423",169,"1,140",114,1,TN,87.3
TENNESSEE,Sevierville,"16,760",108,1.0,6,8,93,830,78,677,75,1,TN,103.5
TENNESSEE,Tullahoma,"19,468",143,0.0,14,12,117,638,83,510,45,4,TN,88.7
TEXAS,Abilene,"123,665",458,6.0,87,68,297,"3,112",576,"2,330",206,7,TX,89.1
TEXAS,Amarillo,"201,036","1,447",15.0,161,246,"1,025","7,835","1,439","5,425",971,39,TX,88.2
TEXAS,Athens,"12,807",47,0.0,10,8,29,283,75,170,38,0,TX,92.9
TEXAS,Beaumont,"118,562","1,241",19.0,97,323,802,"4,287",950,"2,999",338,28,TX,88.6
TEXAS,Brownsville,"184,418",776,0.0,82,143,551,"4,553",631,"3,801",121,27,TX,87.8
TEXAS,Dallas,"1,363,295","11,764",198.0,797,"4,400","6,369","45,279","9,210","25,812","10,257",144,TX,98.5
TEXAS,Houston,"2,355,606","25,257",275.0,"1,249","9,147","14,586","101,750","17,038","71,614","13,098",485,TX,95.8
TEXAS,Killeen,"151,832",583,14.0,105,124,340,"3,432",818,"2,296",318,29,TX,88.6
TEXAS,Longview,"81,783",374,4.0,62,63,245,"2,410",411,"1,809",190,4,TX,88.5
TEXAS,Lubbock,"259,208","2,613",10.0,268,468,"1,867","11,940","2,391","8,324","1,225",85,TX,88.8
TEXAS,McAllen,"144,915",140,1.0,33,39,67,"3,595",152,"3,415",28,3,TX,86.0
TEXAS,Nacogdoches,"33,613",111,2.0,12,27,70,864,159,647,58,2,TX,89.6
TEXAS,Odessa,"123,468","1,282",13.0,141,128,"1,000","3,624",469,"2,656",499,17,TX,92.7
TEXAS,San Angelo,"101,072",357,5.0,56,32,264,"3,173",512,"2,437",224,7,TX,90.7
TEXAS,San Antonio,"1,559,166","11,046",105.0,"1,630","1,965","7,346","67,422","8,172","51,469","7,781",181,TX,92.7
TEXAS,Texarkana,"37,401",157,3.0,33,43,78,"1,710",280,"1,347",83,19,TX,86.3
TEXAS,Tyler,"106,851",401,0.0,72,58,271,"3,206",439,"2,597",170,0,TX,92.8
TEXAS,Victoria,"67,581",347,3.0,66,52,226,"1,974",382,"1,474",118,1,TX,89.5
TEXAS,Waco,"139,870",799,10.0,88,133,568,"4,599",784,"3,492",323,9,TX,89.5
TEXAS,Wichita Falls,"104,551",364,4.0,103,85,172,"3,183",557,"2,394",232,2,TX,85.7
UTAH,Logan,"52,029",113,3.0,35,5,70,691,105,549,37,1,UT,95.2
UTAH,Ogden,"87,875",384,6.0,84,63,231,"3,211",484,"2,382",345,22,UT,99.8
UTAH,Provo,"117,189",135,1.0,44,13,77,"1,767",163,"1,476",128,1,UT,100.9
UTAH,Salt Lake City,"202,426","1,442",13.0,234,403,792,"11,452","1,290","8,902","1,260",30,UT,105.9
UTAH,St. George,"89,160",181,2.0,48,13,118,"1,397",229,"1,023",145,3,UT,98.0
VERMONT,Burlington,"42,958",174,2.0,41,13,118,"1,110",109,976,25,2,VT,112.8
VIRGINIA,Blacksburg,"44,948",50,0.0,26,1,23,275,38,228,9,1,VA,94.5
VIRGINIA,Charlottesville,"48,453",157,0.0,32,22,103,"1,124",122,924,78,5,VA,102.1
VIRGINIA,Danville,"40,191",112,8.0,11,25,68,"1,467",180,"1,205",82,10,VA,87.1
VIRGINIA,Harrisonburg,"54,387",112,0.0,32,17,63,924,68,813,43,5,VA,95.5
VIRGINIA,Lynchburg,"82,512",316,2.0,35,60,219,"1,802",261,"1,382",159,11,VA,93.6
VIRGINIA,Martinsville,"12,726",66,2.0,9,13,42,343,49,260,34,0,VA,85.0
VIRGINIA,Richmond,"230,721","1,068",55.0,45,385,583,"8,074",986,"6,234",854,44,VA,99.2
VIRGINIA,Roanoke,"99,752",386,13.0,41,106,226,"4,402",519,"3,585",298,25,VA,94.1
VIRGINIA,Staunton,"24,931",51,0.0,18,5,28,473,35,419,19,5,VA,94.5
VIRGINIA,Virginia Beach,"449,038",581,30.0,79,196,276,"7,906",530,"6,797",579,34,VA,99.0
VIRGINIA,Winchester,"28,201",80,1.0,39,6,34,657,76,559,22,5,VA,97.2
WASHINGTON,Aberdeen,"16,627",71,1.0,25,14,31,680,123,519,38,6,WA,97.6
WASHINGTON,Bellingham,"91,906",251,4.0,28,61,158,"2,689",323,"2,251",115,6,WA,111.6
WASHINGTON,Bremerton,"41,675",168,1.0,26,34,107,"1,358",234,984,140,6,WA,115.0
WASHINGTON,Centralia,"17,603",60,1.0,14,13,32,670,102,525,43,1,WA,103.3
WASHINGTON,Kennewick,"84,072",253,2.0,54,49,148,"2,487",378,"1,907",202,12,WA,99.7
WASHINGTON,Longview,"38,282",101,1.0,30,19,51,"1,102",159,841,102,8,WA,101.6
WASHINGTON,Mount Vernon,"36,274",55,0.0,13,17,25,"1,140",126,899,115,5,WA,110.1
WASHINGTON,Oak Harbor,"23,554",31,0.0,8,2,21,134,26,95,13,0,WA,125.2
WASHINGTON,Olympia,"53,286",254,2.0,25,70,157,"1,854",244,"1,409",201,10,WA,110.9
WASHINGTON,Port Angeles,"20,207",117,0.0,38,14,65,719,127,529,63,3,WA,109.1
WASHINGTON,Seattle,"763,706","4,471",28.0,358,"1,339","2,746","34,333","7,210","23,478","3,645",98,WA,124.6
WASHINGTON,Shelton,"10,432",53,0.0,20,5,28,583,66,485,32,1,WA,109.6
WASHINGTON,Spokane,"220,432","1,520",6.0,230,311,973,"13,048","1,743","10,026","1,279",45,WA,100.4
WASHINGTON,Walla Walla,"33,047",114,2.0,29,16,67,"1,052",161,814,77,5,WA,100.9
WASHINGTON,Wenatchee,"34,513",62,1.0,16,10,35,638,66,532,40,1,WA,106.6
WASHINGTON,Yakima,"94,168",420,9.0,44,91,276,"2,723",439,"1,866",418,15,WA,97.5
WEST VIRGINIA,Huntington,"45,675",330,4.0,56,59,211,"1,792",456,"1,147",189,21,WV,84.3
WEST VIRGINIA,Morgantown,"31,281",67,0.0,9,5,53,489,71,383,35,1,WV,88.5
WEST VIRGINIA,Weirton,"18,296",11,0.0,1,0,10,88,2,84,2,1,WV,82.6
WISCONSIN,Appleton,"74,757",206,2.0,32,23,149,"1,073",107,910,56,10,WI,90.7
WISCONSIN,Beaver Dam,"16,375",27,1.0,5,0,21,260,27,224,9,2,WI,92.9
WISCONSIN,Eau Claire,"69,195",191,0.0,58,22,111,"1,634",252,"1,317",65,2,WI,91.8
WISCONSIN,Fond du Lac,"42,954",134,0.0,28,14,92,797,59,697,41,3,WI,88.0
WISCONSIN,Green Bay,"104,992",529,3.0,78,49,399,"1,724",245,"1,355",124,10,WI,91.4
WISCONSIN,Janesville,"64,687",148,1.0,38,28,81,"1,577",137,"1,397",43,6,WI,89.8
WISCONSIN,La Crosse,"51,591",122,2.0,27,26,67,"1,850",226,"1,561",63,1,WI,91.8
WISCONSIN,Madison,"261,270",940,4.0,107,217,612,"6,464","1,046","4,873",545,9,WI,99.5
WISCONSIN,Manitowoc,"32,497",73,0.0,6,4,63,631,47,566,18,1,WI,87.8
WISCONSIN,Marinette,"10,569",11,0.0,3,1,7,184,20,158,6,1,WI,86.6
WISCONSIN,Milwaukee,"590,923","7,874",97.0,427,"1,911","5,439","15,097","3,594","8,053","3,450",198,WI,93.8
WISCONSIN,Racine,"77,269",291,4.0,45,53,189,990,212,682,96,4,WI,90.9
WISCONSIN,Sheboygan,"48,035",172,0.0,48,10,114,783,88,676,19,3,WI,89.7
WISCONSIN,Stevens Point,"26,095",55,1.0,8,1,45,260,26,229,5,2,WI,91.5
WISCONSIN,Watertown,"23,596",47,0.0,14,2,31,241,31,201,9,0,WI,97.1
WISCONSIN,Wisconsin Rapids,"17,613",28,0.0,23,1,4,549,36,501,12,0,WI,86.9
WYOMING,Casper,"57,752",169,2.0,58,18,91,"1,677",285,"1,271",121,2,WY,94.2
WYOMING,Cheyenne,"64,501",220,5.0,43,27,145,"1,999",211,"1,613",175,11,WY,96.9
